scenario_name,severity_rank,member_count,total_fails_to_receive_usd,total_fails_to_deliver_usd,total_replacement_liquidity_usd,total_persistent_fail_liquidity_usd,total_combined_funding_shock_usd,total_incremental_combined_stress_usd,peak_stressed_liquidity_need_usd,maximum_member_shortfall_usd,total_member_shortfall_usd,shortfall_member_count
control,0,48,0.0,0.0,0.0,0.0,0.0,0.0,1944484017313.394,6232574638.537617,17773819402.977913,10
moderate_settlement_disruption,1,48,223408322888.47037,172230631110.86493,172230631110.86493,55389453559.906944,247829041029.37558,699029679219.7286,2430054753882.031,12979321582.728203,120987613781.77089,23
severe_multi_day_fails,2,48,419753307221.17596,322417393332.5948,354659132665.85425,289743441496.19214,824665061329.1019,1889465777498.9895,3519876892052.164,74704162440.37927,724429973997.414,45
combined_settlement_funding_crisis,3,48,728492614442.3519,567283917776.0544,709104897220.0681,1092865961087.5039,1381582695112.1465,3914031661574.2866,5789436544132.073,243069695182.68005,2459984443342.626,48
