scenario_name,display_order,component,check_name,required_for_section21,passed
sofr_spike,7,collateral_haircut,haircut_bounds,True,True
sofr_spike,7,collateral_haircut,liquidity_identities,True,True
sofr_spike,7,collateral_haircut,scenario_aggregation_complete,True,True
sofr_spike,7,collateral_haircut,severity_monotonicity,True,True
sofr_spike,7,collateral_haircut,synthetic_identity_controls,True,True
sofr_spike,7,collateral_haircut,unique_bucket_keys,True,True
sofr_spike,7,collateral_haircut,zero_shock_control,True,True
sofr_spike,7,integrated_stress,aggregate_requirement_nondecreasing,True,True
sofr_spike,7,integrated_stress,double_count_controls_pass,True,True
sofr_spike,7,integrated_stress,expected_member_scenario_rows,True,True
sofr_spike,7,integrated_stress,finite_required_outputs,True,True
sofr_spike,7,integrated_stress,lcr_identity,True,True
sofr_spike,7,integrated_stress,lcr_status_identity,True,True
sofr_spike,7,integrated_stress,nonnegative_required_outputs,True,True
sofr_spike,7,integrated_stress,scenario_summary_complete,True,True
sofr_spike,7,integrated_stress,stressed_requirement_identity,True,True
sofr_spike,7,integrated_stress,synthetic_only,True,True
sofr_spike,7,integrated_stress,unique_member_scenario_keys,True,True
sofr_spike,7,integrated_stress,zero_requirement_lcr_convention,True,True
sofr_spike,7,repo_funding,all_in_funding_rate_identity,True,True
sofr_spike,7,repo_funding,deterministic_reproduction,True,True
sofr_spike,7,repo_funding,funding_concentration_implemented,False,False
sofr_spike,7,repo_funding,funding_cost_increases_implemented,False,True
sofr_spike,7,repo_funding,funding_stress_decomposition_identity,True,True
sofr_spike,7,repo_funding,increased_collateral_demands_implemented,False,False
sofr_spike,7,repo_funding,member_scenario_rows_complete,True,True
sofr_spike,7,repo_funding,nonnegative_stress_components,True,True
sofr_spike,7,repo_funding,partial_lender_withdrawal_implemented,False,False
sofr_spike,7,repo_funding,repo_rollover_failures_implemented,False,False
sofr_spike,7,repo_funding,rollover_failure_bounded_by_roll_amount,True,True
sofr_spike,7,repo_funding,scenario_cashflow_rows_complete,True,True
sofr_spike,7,repo_funding,scenario_summary_complete,True,True
sofr_spike,7,repo_funding,shorter_refinancing_horizons_implemented,False,False
sofr_spike,7,repo_funding,sofr_rate_identity,True,True
sofr_spike,7,repo_funding,sofr_rate_spikes_implemented,False,True
sofr_spike,7,repo_funding,stressed_headroom_identity,True,True
sofr_spike,7,repo_funding,stressed_liquidity_need_identity,True,True
sofr_spike,7,repo_funding,stressed_need_not_below_baseline,True,True
sofr_spike,7,repo_funding,stressed_shortfall_identity,True,True
sofr_spike,7,repo_funding,synthetic_members_only,True,True
sofr_spike,7,repo_funding,unique_scenario_member_buckets,True,True
sofr_spike,7,settlement_fail,combined_stress_identity,True,True
sofr_spike,7,settlement_fail,complete_cashflow_matrix,True,True
sofr_spike,7,settlement_fail,complete_member_matrix,True,True
sofr_spike,7,settlement_fail,delayed_payment_recovery_bounds,True,True
